ASIN,AMAZON_RATING_1,AMAZON_RATING_2,AMAZON_RATING_3,AMAZON_RATING_4,AMAZON_RATING_5,AMAZON_RATING_AVG
['B00DLYD31A'],22,8,9,18,43,3.52
['B00DOP3NPW'],8,8,8,20,56,4.08
['B00DOV1948'],18,9,9,17,47,3.66
['B00DOV1COK'],20,5,5,21,49,3.74
['B00DQ5RGOY'],11,8,11,21,49,3.89
['B00DQDSJPG'],16,17,0,17,50,3.68
['B00DQDSJPG'],16,17,0,17,50,3.68
['B00DR7EG0I'],40,17,2,13,28,2.72
['B00DR8LB4Q'],9,10,11,21,49,3.91
['B00E055H5O'],7,2,3,13,75,4.47
['B00E0FOCUA'],6,3,13,25,53,4.16
['B00E0LCRE2'],8,0,6,19,67,4.37
['B00E0LCRE2'],8,0,6,19,67,4.37
['B00E0P7JFA'],4,4,9,18,65,4.359999999999999
['B00E3RH5W2'],7,2,4,16,71,4.42
['B00E3RH5W2'],7,2,4,16,71,4.42
['B00E3RH63A'],9,3,4,16,68,4.3100000000000005
['B00E3W16OU'],3,1,2,9,85,4.72
['B00E4MQODC'],6,5,7,16,66,4.3100000000000005
['B00E4MQODC'],6,5,7,16,66,4.3100000000000005
['B00EELU4ES'],13,8,7,16,56,3.9400000000000004
['B00EF1G9D2'],2,0,5,12,81,4.700000000000001
['B00EF1G9DW'],1,0,6,10,83,4.74
['B00EGSGDXK'],0,0,0,8,92,4.920000000000001
